ID,name,href,first_party,second_party,winning_party,winner_index,facts
734,Randall D. White v. State of Illinois,https://api.oyez.org/cases/1991/90-6113,Randall D. White,State of Illinois,,,"<p>During Randall D. White’s trial on charges related to a sexual assault of a 4-year-old girl, Illinois state prosecutors twice-attempted to call the child, who was by then five years old, as a witness, but each time she experienced emotional difficulty and left the stand without testifying. The tr"
735,American National Red Cross v. S.G.,https://api.oyez.org/cases/1991/91-594,American National Red Cross,S.G.,,,"<p>Plaintiffs filed two state-law tort actions in New Hampshire state courts, alleging that one of them had contracted AIDS from a transfusion of contaminated blood during surgery. The second action was brought against the Red Cross after plaintiffs discovered that it had supplied the tainted blood."
736,Lucas v. South Carolina Coast Council,https://api.oyez.org/cases/1991/91-453,Lucas,South Carolina Coast Council,,,"<p>In 1986, Lucas bought two residential lots on the Isle of Palms, a South Carolina barrier island. He intended to build single-family homes as on the adjacent lots. In 1988, the state legislature enacted a law which barred Lucas from erecting permanent habitable structures on his land. The law aim"
737,Robert R. Freeman et al. v. Willie Eugene Pitts et al.,https://api.oyez.org/cases/1991/89-1290,Robert R. Freeman et al.,Willie Eugene Pitts et al.,,,"<p>In 1969, the United States District Court for the Northern District of Georgia ordered the DeKalb County School System (DCSS) to eliminate its previously legal racial segregation and its inequitable byproducts under judicial control. However, in 1986, DCSS officials filed a motion, intending for "
738,"Lee v. International Society for Krishna Consciousness, Inc.",https://api.oyez.org/cases/1991/91-339,Lee,"International Society for Krishna Consciousness, Inc.",,,"<p>The Port Authority of New York and New Jersey banned the distribution of flyers, brochures, pamphlets and other printed material at its airport terminals. Members of a religious group wanted to perform a ritual involving the distibution of literature at these airports. The group challenged the re"
739,James Gomez and Daniel Vasquez v. United States District Court for the Northern District of California,https://api.oyez.org/cases/1991/-767,James Gomez and Daniel Vasquez,United States District Court for the Northern District of California,,,"<p>In 1979, a California state court convicted Robert Allen Harris of kidnapping and murdering two teenage boys in San Diego and sentenced him to death. On April 18, 1992, three days before his scheduled execution date, Harris and other death-row inmates filed a civil rights class action lawsuit in "
740,R.A.V. v. City of St. Paul,https://api.oyez.org/cases/1991/90-7675,R.A.V.,City of St. Paul,,,"<p>Several teenagers allegedly burned a crudely fashioned cross on a black family's lawn. The police charged one of the teens under a local bias-motivated criminal ordinance which prohibits the display of a symbol which ""arouses anger, alarm or resentment in others on the basis of race, color, creed"
741,"Simon & Schuster, Inc. v. Members of New York State Crime Victims Board",https://api.oyez.org/cases/1991/90-1059,"Simon & Schuster, Inc.",Members of New York State Crime Victims Board,,,"<p>To keep criminals from profiting from crimes by selling their stories, New York State's 1977 ""Son of Sam"" law ordered that proceeds from such deals be turned over to the New York State Crime Victims Board. The Board was to deposit the money into escrow accounts which victims could later claim thr"
742,"Christine Franklin  v. Gwinnett County Public Schools, William Prescott",https://api.oyez.org/cases/1991/90-918,Christine Franklin ,"Gwinnett County Public Schools, William Prescott",,,"<p>Andrew Hill, a teacher at North Gwinnett High School, sexually harassed Christine Franklin throughout her 10th grade year.  Franklin reported the harassment to teachers and school district administrators, but the administration did nothing.  They also encouraged Franklin to refrain from pressing "
743,Forsyth County v. Nationalist Movement,https://api.oyez.org/cases/1991/91-538,Forsyth County,Nationalist Movement,Forsyth County,0,"<p>The Board of Commissioners for Forsyth County enacted an ordinance that permitted the county administrator to charge a fee of not more than $1,000 per day for a permit to hold a parade, assembly, or demonstration on public property in the county. The law allowed the administrator to adjust the fe"
744,Marc Gilbert Doggett v. United States,https://api.oyez.org/cases/1991/90-857,Marc Gilbert Doggett,United States,,,"<p>In 1980, Marc Gilbert Doggett was indicted in the U.S. District Court for the Middle District of Florida on federal drug charges.  When Drug Enforcement Administration (DEA) agents went to his home to arrest him, they found he had left for Colombia four days earlier.  The DEA later found out that"
745,Hartford Fire Insurance Company v. California,https://api.oyez.org/cases/1992/91-1111,Hartford Fire Insurance Company,California,,,"<p>Nineteen States and many private plaintiffs filed complaints alleging that the defendants -- domestic primary insurers, trade associations, and a reinsurance broker, along with London-based as well as domestic reinsurers -- violated Section 1 of the Sherman Act, 15 U.S.C. Section 1, by engaging i"
746,Minnesota v. Timothy Dickerson,https://api.oyez.org/cases/1992/91-2019,Minnesota,Timothy Dickerson,,,"<p>On November 9, 1989, while exiting an apartment building with a history of cocaine trafficking, Timothy Dickerson spotted police officers and turned to walk in the opposite direction. In response, the officers commanded Dickerson to stop and proceeded to frisk him. An officer discovered a lump in"
747,Deal v. United States,https://api.oyez.org/cases/1992/91-8199,Deal,United States,,,"<p>Between January and April 1990, Thomas Lee Deal committed six bank robberies. In each robbery, he used a gun. Subsequently, Deal was convicted, in a single proceeding, of six counts of carrying and using a firearm during and in relation to a crime of violence in violation of 18 USC section 924(c)"
748,United States v. California and California State Board of Equalization,https://api.oyez.org/cases/1992/91-2003,United States,California and California State Board of Equalization,,,"<p>From 1975 to 1985, the United States Government contracted with Williams Brothers Engineering Company (WBEC) to conduct the federal oil drilling in Kern County, California. By 1981, WBEC had accrued a state tax deficit of $14 million. After the Board of Equalization rejected WBEC's claim that tho"
749,"Hazen Paper Co., Robert Hazen, Thomas N. Hazen  v. Walter F. Biggins",https://api.oyez.org/cases/1992/91-1600,"Hazen Paper Co., Robert Hazen, Thomas N. Hazen ",Walter F. Biggins,,,"<p>Hazen Paper Company fired Walter F. Biggins, a 62-year-old employee who worked for Hazen for just under 10 years.  Biggins’ pension was set to vest at the completion of 10 years of service.  Biggins sued Hazen and its owners, alleging that his termination violated the Age Discrimination in Employ"
750,"Heller, Secretary, Kentucky Cabinet For Human Resources v. Doe, By His Mother And Next Friend, Doe, et al.",https://api.oyez.org/cases/1992/92-351,"Heller, Secretary, Kentucky Cabinet For Human Resources","Doe, By His Mother And Next Friend, Doe, et al.",,,<p>A class of involuntarily committed mentally retarded persons brought suit against Kentucky in a Kentucky federal court challenging the constitutionality of the state's involuntary commitment procedures. The district court agreed that the procedures were unconstitutional and prevented the enforcem
751,"Salvador Godinez, Warden v. Richard Allan Moran",https://api.oyez.org/cases/1992/92-725,"Salvador Godinez, Warden",Richard Allan Moran,,,"<p>Richard Allen Moran allegedly shot three people and attempted to kill himself.  He pleaded not guilty to three counts of first-degree murder in Nevada state court.  After a court-ordered psychiatric examination, Moran was found competent to stand trial.  Two and a half months later, Moran told th"
752,Zobrest v. Catalina Foothills School District,https://api.oyez.org/cases/1992/92-94,Zobrest,Catalina Foothills School District,,,<p>James Zobrest was deaf since birth. He attended public school through the eighth grade where the local school board provided a sign-language interpreter. Zobrest's parents elected to send their son to a Roman Catholic high school and requested that the local school board continue to provide their
753,"Gary Graham v. James A. Collins, Director of the Texas Department of Criminal Justice, Institutional Division",https://api.oyez.org/cases/1992/91-7580,Gary Graham,"James A. Collins, Director of the Texas Department of Criminal Justice, Institutional Division",,,"<p>On May 13, 1981, 17-year-old Gary Graham accosted Bobby Grant Lambert in the parking lot of a Safeway grocery store in Houston, Texas, and attempted to steal his wallet. When Lambert refused to hand it over, Graham shot and killed him. Graham was convicted of capital murder and sentenced to death"
754,Withrow v. Williams,https://api.oyez.org/cases/1992/91-1030,Withrow,Williams,,,"<p>During his murder case, Robert Williams argued that statements he had made to police should be excluded. Some of those statements had been made before he was given his Miranda warnings and others, while made after the Miranda warnings had been given, were the direct product of those earlier, un- "
755,Shaw v. Reno,https://api.oyez.org/cases/1992/92-357,Shaw,Reno,,,"<p>The U.S. Attorney General rejected a North Carolina congressional reapportionment plan because the plan created only one black-majority district. North Carolina submitted a second plan creating two black-majority districts. One of these districts was, in parts, no wider than the interstate road a"
756,"Lynwood Moreau  v. Johnny Klevenhagen, Sheriff of Harris County, Texas",https://api.oyez.org/cases/1992/92-1,Lynwood Moreau ,"Johnny Klevenhagen, Sheriff of Harris County, Texas",,,"<p>The Fair Labor Standards Act (FLSA) allows public employers to give employees compensatory time off instead of overtime pay in some situations.  The employees of the Harris County Sheriff’s Department had a union representative who dealt with workers' compensation and filing grievances, but Texas"
757,Wisconsin v. Mitchell,https://api.oyez.org/cases/1992/92-515,Wisconsin,Mitchell,,,"<p>On October 7, 1989, Todd Mitchell, a young black man, instigated an attack against a young white boy. He was subsequently convicted of aggravated battery in the Circuit Court for Kenosha County. According to Wisconsin statute, Mitchell's sentence was increased, because the court found that he had"
758,Lamb's Chapel v. Center Moriches Union Free School District,https://api.oyez.org/cases/1992/91-2024,Lamb's Chapel,Center Moriches Union Free School District,,,"<p>A New York law authorized schools to regulate the after-hour use of school property and facilities. The Center Moriches School District, acting under the statute, prohibited the use of its property by any religious group. The District refused repeated requests by Lamb's Chapel to use the school's"
759,"Leonel Torres Herrera v. James A. Collins, Director, Texas Department of Criminal Justice, Institutional Division",https://api.oyez.org/cases/1992/91-7328,Leonel Torres Herrera,"James A. Collins, Director, Texas Department of Criminal Justice, Institutional Division",,,"<p>On September 29, 1981, Officers Enrique Carrisalez and David Rucker were shot within several minutes of each other in a rural part of Texas along the Mexico border known as “the Valley.” Enrique Hernandez, who was riding along in Officer Carrisalez’s squad car, was an eyewitness to Carrisalez’s s"
760,"Spectrum Sports Inc. and Kenneth B. Leighton  v. Shirley and Larry McQuillan, dba Sorboturf Enterprises",https://api.oyez.org/cases/1992/91-10,Spectrum Sports Inc. and Kenneth B. Leighton ,"Shirley and Larry McQuillan, dba Sorboturf Enterprises",,,"<p>Shirley and Larry McQuillan were the southwest distributors for products made with sorbothane, a patented elastic polymer.  They had an agreement with the manufacturer to be one of five regional distributors.  Gradually, the manufacturer began to take away the McQuillan’s right to distribute cert"
761,"Church of Lukumi Babalu Aye, Inc. v. City of Hialeah",https://api.oyez.org/cases/1992/91-948,"Church of Lukumi Babalu Aye, Inc.",City of Hialeah,,,"<p>The Church of Lukumi Babalu Aye practiced the Afro-Caribbean-based religion of Santeria. Santeria used animal sacrifice as a form of worship in which an animal's carotid arteries would be cut and, except during healing and death rights, the animal would be eaten. Shortly after the announcement of"
762,"Todd A. Brecht v. Gordon A. Abrahamson, Superintendent, Dodge Correctional Institution",https://api.oyez.org/cases/1992/91-7358,Todd A. Brecht,"Gordon A. Abrahamson, Superintendent, Dodge Correctional Institution",,,"<p>Todd Brecht was charged with murder for shooting his brother-in-law. During his trial, he testified that the shooting was an accident. In addition to presenting other evidence, the prosecution pointed out his silence (both prior to his receiving the Miranda warnings and after) in an attempt to di"
763,Helling v. McKinney,https://api.oyez.org/cases/1992/91-1958,Helling,McKinney,,,"<p>William McKinney, a Nevada state prisoner, sued his warden and several other prison officials for violating his Eighth Amendment rights by subjecting him to unhealthy levels of second-hand smoke. McKinney shared a cell with a man who smoked five packs of cigarettes a day. He claimed that his heal"
764,"Northeastern Florida Chapter, Associated General Contractors of America v. City of Jacksonville, Florida, et al.",https://api.oyez.org/cases/1992/91-1721,"Northeastern Florida Chapter, Associated General Contractors of America","City of Jacksonville, Florida, et al.",,,"<p>In 1984, the Minority Business Enterprise Participation ordinance was passed in Jacksonville, Florida which set aside 10 percent of the budget for city contracts to hire minority-owned businesses. On April 4, 1989, the Northeastern Florida Chapter of the Associated General Contractors of America,"
765,"Federal Communications Commission v. Beach Communications, Inc.",https://api.oyez.org/cases/1992/92-603,Federal Communications Commission,"Beach Communications, Inc.",,,"<p>Section 602(7)(B) of the Cable Communications Policy Act of 1984 provides that cable television systems be franchised by local governmental authorities, but exempts facilities serving ""only subscribers in 1 or more multiple unit dwellings under common ownership, control, or management, unless suc"
766,Richard Lyle Austin  v. United States,https://api.oyez.org/cases/1992/92-6073,Richard Lyle Austin ,United States,,,"<p>Richard Lyle Austin was indicted on four counts of violating South Dakota’s drug laws. He pleaded guilty to one count of possession cocaine with intent to distribute and was sentenced to seven years in jail. The United States then filed an in rem action, seeking forfeiture of Austin’s mobile home"
767,"Cardinal Chemical Company v. Morton International, Inc.",https://api.oyez.org/cases/1992/92-114,Cardinal Chemical Company,"Morton International, Inc.",,,"<p>Acting upon a belief that Cardinal Chemical (""Cardinal"") violated two of its patents on chemical compounds used in polyvinyl chloride, Morton International (""Morton"") challenged Cardinal's actions in a South Carolina District Court. Cardinal counterclaimed that Morton's patents were invalid. The "
768,Smith v. United States,https://api.oyez.org/cases/1992/91-8674,Smith,United States,,,"<p>John Angus Smith offered to trade an automatic weapon, a MAC-10, to an undercover officer for cocaine. Subsequently, he was charged with numerous firearm and drug trafficking offenses. Federal law imposes mandatory sentence enhancement penalties, specifically 30 years for a ""machinegun"", if a def"
769,United States v. Alvin J. Dixon and Michael Foster,https://api.oyez.org/cases/1992/91-1231,United States,Alvin J. Dixon and Michael Foster,,,"<p>Alvin J. Dixon was arrested on second-degree murder charges and released on bond with an order not to commit any criminal offense.  Violation of the order would result in prosecution for contempt of court.  While awaiting trial, Dixon was arrested for possession of cocaine with intent to distribu"
770,"Dorsie Lee Johnson, Jr. v. Texas",https://api.oyez.org/cases/1992/92-5653,"Dorsie Lee Johnson, Jr.",Texas,,,"<p>On March 23, 1986, Dorsie Lee Johnson, Jr., who was 19, shot Jack Huddleston in the course of a convenience store robbery by telling Huddleston to get on the ground and then shooting Huddleston in the back of the neck. A few weeks later, Johnson was arrested for a subsequent robbery and attempted"
771,"Chris Sale, Acting Commissioner, Immigration And Naturalization Service, et al. v. Haitian Centers Council, Inc., et al.",https://api.oyez.org/cases/1992/92-344,"Chris Sale, Acting Commissioner, Immigration And Naturalization Service, et al.","Haitian Centers Council, Inc., et al.",,,"<p>According to Executive Order No. 12807 signed by President George H. W. Bush in 1992, the Coast Guard was required to force the return of all passengers discovered illegally traveling by sea from Haiti to the United States before reaching its borders without determining whether they qualify as re"
772,Ferris Alexander v. United States,https://api.oyez.org/cases/1992/91-1526,Ferris Alexander,United States,,,<p>Ferris Alexander was the owner of a chain of stores and theaters in Minnesota that distributed sexually explicit media. He was charged with violating federal obscenity laws and the Racketeer Influenced and Corrupt Organizations Act (RICO). The federal District Court in Minnesota found him guilty 
773,Nixon v. United States,https://api.oyez.org/cases/1992/91-740,Nixon,United States,,,"<p>Walter Nixon, a Federal District Judge, was convicted of a felony, making false statements to a grand jury. The House of Representatives voted three articles of impeachment; impeachment in the Senate followed. In accordance with Senate Rule XI, a Senate committee heard the evidence and reported i"
774,"Campbell v. Acuff-Rose Music, Inc.",https://api.oyez.org/cases/1993/92-1292,Campbell,"Acuff-Rose Music, Inc.",,,"<p>Acuff-Rose Music, Inc. sued 2 Live Crew and their record company, claiming that 2 Live Crew's song ""Pretty Woman"" infringed Acuff-Rose's copyright in Roy Orbison's ""Oh, Pretty Woman."" The District Court granted summary judgment for 2 Live Crew, holding that its song was a parody that made fair us"
775,Board of Education or Kiryas Joel Village School District v. Grumet,https://api.oyez.org/cases/1993/93-517,Board of Education or Kiryas Joel Village School District,Grumet,,,"<p>In 1989, the New York legislature passed a school districting law that intentionally drew its boundaries in accordance with the boundaries of the Village of Kiryas Joel, a religious enclave of Satmar Hasidim who practice a strict form of Judaism. Shortly before the new district commenced operatio"
776,Florence County School District Four v. Carter,https://api.oyez.org/cases/1993/91-1523,Florence County School District Four,Carter,,,"<p>After Shannon Carter was classified as a learning disabled student, school officials met with her parents to formulate an individualized education program (IEP) as required under the Individuals with Disabilities Education Act (IDEA). Unhappy with the IEP developed by the school district, Shannon"
777,"National Organization for Women, Inc. v. Scheidler",https://api.oyez.org/cases/1993/92-780,"National Organization for Women, Inc.",Scheidler,,,<p>The National Organization for Women (NOW) sued a coalition of anti-abortion groups called the Pro-Life Action Network (PLAN) under the Racketeer Influenced and Corrupt Organizations (RICO) Act. N.O.W. alleged that Scheidler and other anti-abortion protesters were members in a nationwide conspirac
778,Albright v. Oliver et al.,https://api.oyez.org/cases/1993/92-833,Albright,Oliver et al.,,,"<p>Illinois police obtained a warrant to arrest Kevin Albright after he was seen selling a substance which look liked an illegal drug. Upon hearing of the warrant, Albright surrendered to police detective Roger Oliver. A trial court dismissed the charge because it did not state an offense under Illi"
779,"Oregon Waste Systems, Inc. et al. v. Department of Environmental Quality of The State of Oregon et al.",https://api.oyez.org/cases/1993/93-70,"Oregon Waste Systems, Inc. et al.",Department of Environmental Quality of The State of Oregon et al.,,,"<p>In 1989, Oregon Legislature imposed a surcharge on solid waste generated out-of-state and disposed of within the state. The Department of Environmental Quality, determined the amount of the surcharge to be $2.25 per ton, significantly higher than the $0.85 per ton fee charged for in-state waste. "
780,Consolidated Rail Corporation v. Gottshall,https://api.oyez.org/cases/1993/92-1956,Consolidated Rail Corporation,Gottshall,,,"<p>Consolidated Rail Corporation (Conrail) employee James Gottshall observed a fellow worker, Richard Johns, die of a heart attack while on duty. Gottshall's boss postponed seeking medical assistance during Johns' heart attack, insisted that the crew keep working, and left the body at the work site "
781,"C & A Carbone, Inc., et al. v. Town of Clarkstown",https://api.oyez.org/cases/1993/92-1402,"C & A Carbone, Inc., et al.",Town of Clarkstown,,,"<p>A New York town, Clarkstown, allowed a contractor to construct and operate a waste processing plant within town limits. The revenue from the plant would help compensate the contractor. Clarkstown promised that the plant would receive 120,000 tons of solid waste each year, and permitted the contra"
782,"Harris v. Forklift Systems, Inc.",https://api.oyez.org/cases/1993/92-1168,Harris,"Forklift Systems, Inc.",,,"<p>Teresa Harris was sexually harassed by her employer. She filed suit in federal district court, claiming that the harassment created an ""abusive work environment"" in violation of Title VII of the Civil Rights Act of 1964. The employer countered that the harassment had not been severe enough to ser"
783,United States v. Alvarez-Sanchez,https://api.oyez.org/cases/1993/92-1812,United States,Alvarez-Sanchez,,,"<p>Three days after his arrest by local police on state narcotics charges, Pedro Alvarez-Sanchez confessed to the Secret Service that federal reserve notes found in his home were counterfeit. When he was subsequently charged with the federal offense of possession of counterfeit currency, Alvarez def"
784,"Bfp v. Resolution Trust Corporation, As Receiver Of Imperial Federal Savings Association, et al.",https://api.oyez.org/cases/1993/92-1370,Bfp,"Resolution Trust Corporation, As Receiver Of Imperial Federal Savings Association, et al.",,,"<p>BFP, a partnership formed by two private investors, bought a home in Newport Beach, CA in 1987. BFP secured the property by obtaining a deed of trust from Imperial Savings Association (Imperial). Imperial owned the property until BFP could pay off the amount borrowed. BFP defaulted on loan repaym"
785,"Central Bank of Denver , N. A. v. First Interstate Bank Of Denver, N. A., et al.",https://api.oyez.org/cases/1993/92-854,"Central Bank of Denver , N. A.","First Interstate Bank Of Denver, N. A., et al.",,,"<p>In 1986 and 1988, the Colorado Springs-Stetson Hills Public Building Authority issued $26 million worth of bonds to fund public improvements and residential and commercial developments. The Central Bank of Denver served as a trustee on the bonds. In 1988, there was concern that the land was no lo"
786,Associated Industries of Missouri v. Lohman,https://api.oyez.org/cases/1993/93-397,Associated Industries of Missouri,Lohman,,,"<p>Following Missouri's imposition of a 1.5% statewide ""use tax,"" the Associated Industries of Missouri - representing Missouri businesses that had to collect the tax and a manufacturing firm that had to pay it - filed suit alleging that the tax violated the Commerce Clause by discriminating against"
787,Lenard Ray Beecham v. United States,https://api.oyez.org/cases/1993/93-445,Lenard Ray Beecham,United States,,,"<p>Lenard Ray Beecham was convicted in Federal District Court of violating 18 U.S.C. 922(g), which makes it illegal for a convicted felon to possess a firearm. Beecham argued that according to the statute's exemption clause (""Any conviction...for which a person...has had civil rights restored shall "
788,"Dee Farmer v. Edward Brennan, Warden",https://api.oyez.org/cases/1993/92-7247,Dee Farmer,"Edward Brennan, Warden",,,"<p>Dee Farmer, a biological male, underwent estrogen therapy, received silicone breast implants and underwent unsuccessful sex reassignment surgery.  Farmer was convicted and sentenced to prison on federal criminal charges. Prison medical personnel diagnosed Farmer as a transsexual.  Farmer was gene"
789,"Fogerty v. Fantasy, Inc.",https://api.oyez.org/cases/1993/92-1750,Fogerty,"Fantasy, Inc.",,,"<p>After successfully defending against a copyright infringement suit filed against him by Fantasy Inc. (Fantasy), John Fogerty sought to recover the cost of his attorney's fees from Fantasy. Fogerty based his claim on 17 U.S.C. section 505 which states in part that: ""the court may award a reasonabl"
790,"Digital Equipment Corporation v. Desktop Direct, Inc.",https://api.oyez.org/cases/1993/93-405,Digital Equipment Corporation,"Desktop Direct, Inc.","Desktop Direct, Inc.",1,"<p>After Digital Equipment Corporation and Desktop Direct, Inc. arrived at a settlement agreement in a trademark infringement suit, the federal District Court dismissed the case. Several months later, after Desktop claimed that Digital had misrepresented important facts during the settlement negotia"
791,"Ibanez v. Florida Dept. of Business and Professional Regulation, Bd. of Accountancy",https://api.oyez.org/cases/1993/93-639,Ibanez,"Florida Dept. of Business and Professional Regulation, Bd. of Accountancy",,,"<p>Silvia Safille Ibanez practiced law in White Haven, Florida, and had been a member of the Florida Bar since 1983. She was also a Certified Public Accountant (CPA) licensed by the Florida Board of Accountancy (Board) and was authorized by the Certified Financial Planner Board of Standards—a privat"
792,Robert Edward Stansbury v. California,https://api.oyez.org/cases/1993/93-5770,Robert Edward Stansbury,California,,,"<p>Robert Edward Stansbury, an ice cream truck driver, was taken to the Pomona Police Department for questioning as a potential witness in the investigation of the death of a 10-year-old girl.  Stansbury was not a suspect in the death, and did not receive Miranda warnings, but during questioning, ma"
793,"Honda Motor Company, Ltd. v. Oberg",https://api.oyez.org/cases/1993/93-644,"Honda Motor Company, Ltd.",Oberg,,,"<p>Karl Oberg was driving an all-terrain vehicle when it overturned, causing him severe, permanent injuries. The jury in his trial assessed almost $1 million in compensatory damages, and an additional $5 million in punitive damages. A 1910 amendment to the Oregon state constitution prohibited judici"
794,"ABF Freight Systems, Inc. v. National Labor Relations Board",https://api.oyez.org/cases/1993/92-1550,"ABF Freight Systems, Inc.",National Labor Relations Board,,,"<p>After employee Michael Manson gave a false excuse for being late to work, ABF Freight System, Inc. (ABF) fired him for tardiness. Manson repeated his false excuse while under oath at a hearing before an Administrative Law Judge, during which he argued that ABF had fired him in retaliation for his"
795,United States v. Granderson,https://api.oyez.org/cases/1993/92-1662,United States,Granderson,,,"<p>Granderson, convicted for mail destruction, faced potential imprisonment of 0-6 months under U.S. Sentencing Guidelines. The district court sentenced him to five years of probation. When Granderson tested positive for cocaine, the court resentenced him under section 3565 of the U.S. Code. The sec"
796,"West Lynn Creamery, Inc. v. Healy",https://api.oyez.org/cases/1993/93-141,"West Lynn Creamery, Inc.",Healy,,,"<p>On January 28, 1992, in response to the serious financial hardships of Massachusetts dairy farmers, the Commissioner of Massachusetts Department of Food and Agriculture issued a pricing order. The order required all dealers who sold milk to Massachusetts retailers to make a monthly premium paymen"
797,Robert L. Davis  v. United States,https://api.oyez.org/cases/1993/92-1949,Robert L. Davis ,United States,,,"<p>On the Charleston Naval Base, Keith Shackleton lost a game of pool and a $30 wager to Robert L. Davis.  Shackelton refused to pay, and was later found behind the pool club beaten to death with a pool cue.  The Naval Investigative Service (NIS) questioned Davis after finding a bloodstain of one of"
798,Jonathan Dale Simmons v. South Carolina,https://api.oyez.org/cases/1993/92-9059,Jonathan Dale Simmons,South Carolina,,,"<p>In July 1990, Jonathan Dale Simmons beat an elderly woman to death in her home. The week before his trial for capital murder was scheduled to begin, Simmons pled guilty to first-degree robbery and two counts of criminal sexual conduct in connection with two previous assaults. These guilty pleas r"
799,"Turner Broadcasting System, Inc. v. Federal Communications Commission",https://api.oyez.org/cases/1993/93-44,"Turner Broadcasting System, Inc.",Federal Communications Commission,,,"<p>In 1992, Congress passed the Cable Television Consumer Protection and Competition Act of 1992. Sections 4 and 5 of this Act required cable systems to allocate a percentage of their channels to local public broadcast stations, the must-carry rules. The rules limit the cannels available for exclusi"
800,"Roy Heck  v. James Humphrey, Dearborn County Prosecutor, et al.",https://api.oyez.org/cases/1993/93-6188,Roy Heck ,"James Humphrey, Dearborn County Prosecutor, et al.",,,"<p>Roy Heck was convicted of voluntary manslaughter for the death of his wife in Indiana state court and sentenced to 15 years in prison.  He filed an action in federal district court claiming that the prosecution engaged in an “unlawful, unreasonable, and arbitrary investigation” before his arrest "
801,"Madsen et al. v. Women's Health Center, Inc., et al.",https://api.oyez.org/cases/1993/93-880,Madsen et al.,"Women's Health Center, Inc., et al.",,,"<p>Women's Health Center Inc. operated several abortion clinics throughout central Florida, including the Aware Woman Center for Choice in Melbourne, Florida. In 1992, in response to anti-abortion protesters, a state court prohibited the protesters from physically abusing those entering or exiting t"
802,City of Ladue v. Gilleo,https://api.oyez.org/cases/1993/92-1856,City of Ladue,Gilleo,,,<p>Margaret Gilleo placed a 24-by-36-inch sign calling for peace in the Persian Gulf on her front lawn. The original sign disappeared and a subsequent sign was knocked down. She reported these incidents to the police who advised her that such signs were prohibited in Ladue. She sued the city and the
803,"Barclay's Bank, PLC v. Franchise Tax Bd. of California",https://api.oyez.org/cases/1993/92-1384,"Barclay's Bank, PLC",Franchise Tax Bd. of California,,,"<p>California used a ""worldwide combined reporting"" method to determine tax liability for multinational corporations operating inside the state. Under this method, the multinational's income was taxed in proportion to the average percentage of worldwide payroll, property, and sales located inside th"
804,American Dredging Company v. Miller,https://api.oyez.org/cases/1993/91-1950,American Dredging Company,Miller,,,"<p>Robert Miller, a Mississippi resident who had moved north to find work, was injured while working as a seaman for American Dredging Company, a Pennsylvania corporation with its principal place of business in New Jersey. Miller returned home to Mississippi, and filed a suit against the company in "
805,"Babbitt, Secretary Of Interior, et al. v. Sweet Home Chapter Of Communities For A Great Oregon et al.",https://api.oyez.org/cases/1994/94-859,"Babbitt, Secretary Of Interior, et al.",Sweet Home Chapter Of Communities For A Great Oregon et al.,,,"<p>The Endangered Species Act requires that no person ""take"" an endangered or threatened species. The Act defines take as ""harass, harm, pursue,"" ""wound,"" or ""kill."" The Secretary of the Interior further characterizes ""harm"" as including ""significant habitat modification or degradation where it actu"
806,J.E.B. v. Alabama ex rel T.B.,https://api.oyez.org/cases/1993/92-1239,J.E.B.,Alabama ex rel T.B.,,,"<p>Alabama, acting on behalf of T.B. (the mother), sought paternity and child support from J.E.B.(the putative father). A jury found for T.B. In forming the jury, Alabama used its peremptory strikes to eliminate nine of the ten men who were in the jury pool; J.E.B. use a peremptory challenge to stri"
807,Rubin v. Coors Brewing Company,https://api.oyez.org/cases/1994/93-1631,Rubin,Coors Brewing Company,,,"<p>Coors Brewing Co. (Coors) applied to the Bureau of Alcohol, Tobacco and Firearms for an approval of proposed labels. The approval was rejected because it violated the Federal Alcohol Administration Act’s (FAAA) prohibition of disclosing the alcohol content on beer labels or advertisements. Coors "
808,Ryder v. United States,https://api.oyez.org/cases/1994/94-431,Ryder,United States,,,"<p>James Ryder, an enlisted member of the Coast Guard, was convicted of drug offenses by a court-martial. The Coast Guard Court of Military Review affirmed. On rehearing, the court rejected Ryder's claim that its composition violated the Appointments Clause because two of the judges on the three-jud"
809,Metropolitan Stevedore Company v. Rambo,https://api.oyez.org/cases/1994/94-820,Metropolitan Stevedore Company,Rambo,,,"<p>John Rambo received a disability award under the Longshore and Harbor Workers' Compensation Act (LHWCA) for an injury he sustained while working for the Metropolitan Stevedore Company as a longshore frontman. Afterwards, Rambo acquired new skills and obtained longshore work as a crane operator, e"
810,"Ed Plaut et al. v. Spendthrift Farm, Inc., et al.",https://api.oyez.org/cases/1994/93-1121,Ed Plaut et al.,"Spendthrift Farm, Inc., et al.",,,"<p>In 1987, several Spendthrift Farm shareholders, including Ed Plaut, brought suit against the corporation claiming stock sales in 1983 and 1984 had violated the Securities and Exchange Act of 1934. The Supreme Court's ruling in <em>Lampf v Gilbertson</em> (1991) set a universal time limit of three"
811,"Asgrow Seed Company v. Winterboer et al., Dba Deebees",https://api.oyez.org/cases/1994/92-2038,Asgrow Seed Company,"Winterboer et al., Dba Deebees",,,<p>Asgrow Seed Company (Asgrow) held two Plant Variety Protection Act (PVPA) certificates protecting different varieties of soybean seed. These PVPA certificates act like patents in order to promote research on new varieties of plants and to protect the owners of seed varieties from unauthorized sal
